alias,nodeId,p2p,ping (tcp),ping (udp)
null,0xc78e41fffbfb93b4e67920dde1409fe43c69ac6a,false,133ms,131ms
null,0x39e889c1f1861eadbb1f001398be2c7b7499aebe,false,10s,56ms
null,0x6fae611585a1e52e91a69773580ba912c25d2b98,false,139ms,120ms
null,0x191b0791ce7e4251b0a2f09771ccf2a4c27e0022,false,75ms,58ms
null,0xcf52fb6760950ae4235129d65b4fd5f9debe9253,false,76ms,58ms
null,0x5c821508bcfde2d084c2df6ac45e25f601f9504c,false,10s,44ms
null,0xa6dd5757ceda67a9d022ca1f376e241e4af3ea48,false,92ms,72ms
null,0xb023335e57c14653e66011f7276488bb7456c429,false,64ms,44ms
null,0x65104de45912026948793919c40a6df7a280b6ae,false,10s,45ms
null,0xf436a6ee8180527b3ebe63e63cf4751ee3dcd3f0,false,92ms,85ms
null,0xcce05574363b286c940e082b5bd0366e7000dac0,false,65ms,58ms
null,0xb72796c935d8a837c4e63372e4894eec5792209f,false,78ms,69ms
null,0x0f6a9c1c99a1372382a8d871c9e44b8b20834e09,false,10s,86ms
null,0xedd84da61f7348510d9557c2f5067b460ef6588c,false,143ms,136ms
null,0x3813532a7d5fdde68490b127a3651c4fcb0dce68,false,92ms,86ms
null,0xf1f564112587360ef3d3525659633315b1a7a4bb,false,123ms,113ms
null,0x293fd7fe03f77c12b704c877346d2db8690edd2e,false,10s,80ms
null,0x19e2656ee61964365f895142451e7c67b4a10ebb,true,63ms,57ms
null,0xdaf5bfbb47941bb92df00be0772bdebccbb3c5d1,false,79ms,66ms
null,0xd436e84aa0f07a5c2b2846f9a9c774f4b4b40a3a,false,83ms,71ms
null,0x9c64841632ab57b6b09cf0782144939da6de6541,true,63ms,50ms
null,0xebfa57b04dbdf8ce2b30a93d74b8cdaf4b6421e1,false,10s,370ms
null,0xa0f402ee087fd208c4ad83f103b36d7cafa71227,false,114ms,101ms
null,0x4860615e2a2bd1cdc318323f756eb0787347cd80,false,10s,135ms
null,0x777c529c64414f2c045b8c10f9722092d276a6b1,false,10s,67ms
null,0xfa78e3788873ce6aa7f4a27651cd9cc1b32df3ec,false,117ms,101ms
null,0x5e098420cdb425f28a98851431478dd914a30ca5,false,330ms,316ms
null,0x31c67e57dbfd29e29b8fbe051b6dfdb26f3416e2,false,10s,70ms
null,0xc047483f32c6bc1a638fd9dbb0bfa8a57f8fcf80,false,70ms,58ms
null,0x1919655a16434fb02b0aafc2c140beea197a98c3,false,118ms,104ms
null,0x9a64d0bb105c42e44d9209d0c9ad32e3396bb61d,false,10s,10s
null,0x0c59d5dba695c0fbf03a172b6a0bd49b4cc95e50,true,334ms,320ms
null,0xb20235f5d89f229031fc4c060d58526168451fa4,false,10s,83ms
null,0xb7c2d4f289cde1419c810c6120d205ce4998c69e,false,144ms,128ms
null,0xe4f5b11d1dfe7d8f6d68e5f576f744f02cd9b47e,false,121ms,109ms
null,0xfeb0f51f9757e30676cd8e4132dcb4324179bc7b,false,10s,307ms
null,0x0bd56a416463d467e4e79dcf72f81b4e9ffcb924,false,112ms,102ms
null,0x5e84b285a65e69244fc4de9ec5fec794356c1f62,true,333ms,319ms
null,0x7cd4cfe240f5e386cd9d9c561219aef2738f07e6,false,175ms,167ms
null,0x2cec1e3d2901b9ba25808ae448a43e8e12e64dc2,false,10s,78ms
null,0x5de16e143687381e0b971673453cf5b6ec787eb6,false,118ms,110ms
null,0x6153246dcc55b95d32c255b227426646bf4a337a,false,124ms,123ms
null,0x81dcac47ad1dd72d029fe7fec0033b0c00a845a2,false,165ms,159ms
null,0x8614e7b053d3265c2108371f3d64084a52502bfc,false,379ms,369ms
null,0x8645cb8840718c66a682053f437dba849db08088,false,10s,256ms
null,0x8bf8bc406125b235b947bbeefff7fa330656ba1e,false,192ms,184ms
null,0xab6fee48adacb3923dc50a8dc3cd0deddc0b2fa9,false,228ms,220ms
null,0xb8a33b32ccd8099018211fd8ce15ee8d2b4d5bfd,false,358ms,351ms
null,0xcd87f2f40a5ed9a4af5039f63c5f100c24b2ee7f,false,10s,10s
null,0x67a3d7e98c9c63b0940550524b10a0043aae5e50,true,333ms,323ms
null,0x2b322a19b876b7d8655499bb7ff51dabfb6aaa4c,false,238ms,231ms
null,0x2b70cb3aa1c0c6e7493fd277b7795e304cfe1e1c,false,69ms,61ms
null,0x216795542a5a344599e3a44c7ff895a55665edb0,false,10s,68ms
null,0x32aae81b52d834cd39fa1925c2b0640ca46cd5fb,true,306ms,304ms
null,0x3bd5fd01af0dd17c540a5fc3133c595d4ce0f54b,false,142ms,110ms
null,0x4d818690cf1617c0590875623b2f957fb10e2d06,false,10s,86ms
null,0x4df3755a3df208e3c4285024fbc476a686593fe6,false,10s,62ms
null,0xc549189ebc5fea88c76d7e78da57094033cf300c,false,75ms,68ms
null,0xce9d07bd2fe0426e753de9af8ca619f583457e12,false,123ms,121ms
null,0x70d99c1224aa3c37e5048ed3659e7bc7cd5c8b91,false,372ms,363ms
null,0x980d28334ae489f7c17370650fb5b9dde25fe8e2,false,65ms,58ms
null,0xa096bbf809bc024d1a294e6ac2648f3cbadfa7fd,false,103ms,97ms
null,0x22deb21932e97a1b6b6fe5b72d8cf8b1f925affb,false,114ms,107ms
null,0x4f6942974319f6adf3a68d48de102ca19675660e,false,10s,208ms
null,0x7e75acd769e0c8f75e1938f27a15f5e7e5f9d079,false,142ms,135ms
